CODEST,FECHA,RVIENTO,TMIN,TMAX,TMED,TMINABS,TMAXABS,HRMIN,HRMAX,HRMED,HRMINABS,HRMAXABS,PREC,HORAS0,HORAS7,ETO_PM_FAO,FECHA_2,AÑO,ESTACION
AL41,01/01/1994,121.68,5.9,19.1,12.87,5.9,19.1,39.3,86.7,63.48,39.3,86.7,0.0,0.0,3.0,2.928228186,1994-01-01,1994,INVIERNO
AL41,02/01/1994,104.76,2.9,20.8,11.75,2.9,20.8,38.5,84.5,62.61,38.5,84.5,0.0,0.0,9.0,2.928228186,1994-01-02,1994,INVIERNO
AL41,03/01/1994,94.32,2.8,19.4,10.56,2.8,19.4,43.2,92.1,71.77,43.2,92.1,0.0,0.0,8.0,2.928228186,1994-01-03,1994,INVIERNO
AL41,04/01/1994,153.36,8.3,15.6,12.2,8.3,15.6,38.4,78.6,60.12,38.4,78.6,0.0,0.0,0.0,2.928228186,1994-01-04,1994,INVIERNO
AL41,05/01/1994,151.92,-0.4,16.1,8.55,-0.4,16.1,35.5,88.8,63.18,35.5,88.8,0.0,3.0,8.0,2.928228186,1994-01-05,1994,INVIERNO
AL41,06/01/1994,159.48,7.4,14.8,10.22,7.4,14.8,55.6,82.3,64.07,55.6,82.3,0.5,0.0,0.0,2.928228186,1994-01-06,1994,INVIERNO
AL41,07/01/1994,163.44,3.3,14.2,8.48,3.3,14.2,32.5,83.1,56.26,32.5,83.1,0.0,0.0,9.0,2.928228186,1994-01-07,1994,INVIERNO
AL41,08/01/1994,79.2,0.8,15.4,8.06,0.8,15.4,38.9,79.4,58.73,38.9,79.4,0.0,0.0,11.0,2.928228186,1994-01-08,1994,INVIERNO
AL41,09/01/1994,98.28,4.0,19.4,11.2,4.0,19.4,48.4,88.4,69.14,48.4,88.4,0.0,0.0,6.0,2.928228186,1994-01-09,1994,INVIERNO
AL41,10/01/1994,281.52,4.6,16.4,10.96,4.6,16.4,33.9,95.0,60.57,33.9,95.0,0.3,0.0,3.0,2.928228186,1994-01-10,1994,INVIERNO
AL41,11/01/1994,141.12,3.8,17.1,10.7,3.8,17.1,36.5,71.8,54.2,36.5,71.8,0.0,0.0,4.0,2.928228186,1994-01-11,1994,INVIERNO
AL41,12/01/1994,141.12,6.1,23.1,14.65,6.1,23.1,44.7,81.8,64.4,44.7,81.8,0.0,0.0,3.0,2.928228186,1994-01-12,1994,INVIERNO
AL41,13/01/1994,92.52,2.6,20.2,9.92,2.6,20.2,37.8,99.2,78.06,37.8,99.2,0.0,0.0,9.0,2.928228186,1994-01-13,1994,INVIERNO
AL41,14/01/1994,161.64,1.9,18.5,9.9,1.9,18.5,41.9,99.0,70.99,41.9,99.0,0.0,0.0,9.0,2.928228186,1994-01-14,1994,INVIERNO
AL41,15/01/1994,152.28,5.2,20.0,10.97,5.2,20.0,26.8,84.7,57.98,26.8,84.7,0.0,0.0,7.0,2.928228186,1994-01-15,1994,INVIERNO
AL41,16/01/1994,149.04,4.8,13.0,9.32,4.8,13.0,42.1,64.1,50.21,42.1,64.1,0.0,0.0,4.0,2.928228186,1994-01-16,1994,INVIERNO
AL41,17/01/1994,311.4,7.1,12.8,9.55,7.1,12.8,33.6,52.3,43.61,33.6,52.3,0.0,0.0,0.0,2.928228186,1994-01-17,1994,INVIERNO
AL41,18/01/1994,391.32,3.0,8.4,5.9,3.0,8.4,34.7,90.7,63.55,34.7,90.7,1.6,0.0,17.0,2.928228186,1994-01-18,1994,INVIERNO
AL41,19/01/1994,427.32,6.3,9.9,8.06,6.3,9.9,55.7,77.3,64.74,55.7,77.3,0.2,0.0,5.0,2.928228186,1994-01-19,1994,INVIERNO
AL41,20/01/1994,346.68,6.3,10.5,8.15,6.3,10.5,32.8,57.7,45.35,32.8,57.7,0.0,0.0,5.0,2.928228186,1994-01-20,1994,INVIERNO
AL41,21/01/1994,133.56,-2.8,11.0,5.25,-2.8,11.0,41.9,90.1,63.91,41.9,90.1,0.0,5.0,10.0,2.928228186,1994-01-21,1994,INVIERNO
AL41,22/01/1994,139.68,0.7,10.2,5.73,0.7,10.2,64.6,97.7,86.56,64.6,97.7,0.0,0.0,16.0,2.928228186,1994-01-22,1994,INVIERNO
AL41,23/01/1994,64.08,-3.1,14.7,4.02,-3.1,14.7,29.1,99.4,74.87,29.1,99.4,0.0,11.0,16.0,2.928228186,1994-01-23,1994,INVIERNO
AL41,24/01/1994,66.6,-3.2,19.2,5.91,-3.2,19.2,26.0,93.7,69.94,26.0,93.7,0.0,9.0,14.0,2.928228186,1994-01-24,1994,INVIERNO
AL41,25/01/1994,59.04,-0.3,21.4,7.65,-0.3,21.4,26.2,93.3,67.1,26.2,93.3,0.0,1.0,14.0,2.928228186,1994-01-25,1994,INVIERNO
AL41,26/01/1994,186.48,0.4,19.9,11.11,0.4,19.9,37.0,90.2,56.82,37.0,90.2,0.0,0.0,7.0,2.928228186,1994-01-26,1994,INVIERNO
AL41,27/01/1994,55.08,-1.9,19.8,7.46,-1.9,19.8,31.6,98.2,75.99,31.6,98.2,0.0,5.0,13.0,2.928228186,1994-01-27,1994,INVIERNO
AL41,28/01/1994,96.84,0.0,23.0,10.2,0.0,23.0,26.2,99.4,61.89,26.2,99.4,0.0,0.0,9.0,2.928228186,1994-01-28,1994,INVIERNO
AL41,29/01/1994,96.84,-0.3,17.8,9.03,-0.3,17.8,50.5,93.9,74.06,50.5,93.9,0.0,1.0,10.0,2.928228186,1994-01-29,1994,INVIERNO
AL41,30/01/1994,52.92,2.5,17.5,8.047,2.5,17.5,42.0,99.0,82.02,42.0,99.0,0.0,0.0,14.0,2.928228186,1994-01-30,1994,INVIERNO
AL41,31/01/1994,61.2,-2.2,18.9,6.97,-2.2,18.9,30.7,97.4,77.33,30.7,97.4,0.0,5.0,13.0,2.928228186,1994-01-31,1994,INVIERNO
AL41,01/02/1994,60.48,-1.0,19.9,8.04,-1.0,19.9,31.5,98.2,78.42,31.5,98.2,0.0,3.0,13.0,2.928228186,1994-02-01,1994,INVIERNO
AL41,02/02/1994,81.0,-1.5,17.7,7.69,-1.5,17.7,38.1,97.4,77.78,38.1,97.4,0.0,4.0,11.0,2.928228186,1994-02-02,1994,INVIERNO
AL41,03/02/1994,104.76,4.9,16.1,10.45,4.9,16.1,46.0,93.7,70.87,46.0,93.7,0.0,0.0,8.0,2.928228186,1994-02-03,1994,INVIERNO
AL41,04/02/1994,208.44,4.3,11.7,8.42,4.3,11.7,32.8,61.9,47.97,32.8,61.9,0.0,0.0,6.0,2.928228186,1994-02-04,1994,INVIERNO
AL41,05/02/1994,250.92,1.2,11.6,7.02,1.2,11.6,36.2,54.9,44.69,36.2,54.9,0.0,0.0,11.0,2.928228186,1994-02-05,1994,INVIERNO
AL41,06/02/1994,79.2,-3.1,15.8,6.58,-3.1,15.8,23.6,71.0,47.9,23.6,71.0,0.0,3.0,15.0,2.928228186,1994-02-06,1994,INVIERNO
AL41,07/02/1994,70.92,0.5,14.8,7.6,0.5,14.8,49.6,78.2,66.21,49.6,78.2,0.0,0.0,11.0,2.928228186,1994-02-07,1994,INVIERNO
AL41,08/02/1994,447.84,7.1,14.7,10.95,7.1,14.7,34.0,68.9,46.6,34.0,68.9,0.0,0.0,0.0,2.928228186,1994-02-08,1994,INVIERNO
AL41,09/02/1994,214.92,3.0,18.8,11.35,3.0,18.8,25.3,72.0,42.3,25.3,72.0,0.0,0.0,3.0,2.928228186,1994-02-09,1994,INVIERNO
AL41,10/02/1994,94.68,-0.7,22.4,10.28,-0.7,22.4,29.6,74.1,52.77,29.6,74.1,0.0,1.0,9.0,2.928228186,1994-02-10,1994,INVIERNO
AL41,11/02/1994,146.52,4.1,22.6,11.88,4.1,22.6,26.2,68.4,50.0,26.2,68.4,0.0,0.0,9.0,2.928228186,1994-02-11,1994,INVIERNO
AL41,12/02/1994,93.6,1.8,23.0,11.68,1.8,23.0,24.8,72.8,49.68,24.8,72.8,0.0,0.0,9.0,2.928228186,1994-02-12,1994,INVIERNO
AL41,13/02/1994,114.12,2.6,21.3,11.67,2.6,21.3,32.0,88.2,56.58,32.0,88.2,0.0,0.0,5.0,2.928228186,1994-02-13,1994,INVIERNO
AL41,14/02/1994,190.08,6.2,19.1,11.85,6.2,19.1,27.6,94.5,60.15,27.6,94.5,0.0,0.0,3.0,2.928228186,1994-02-14,1994,INVIERNO
AL41,15/02/1994,127.08,5.8,16.5,10.39,5.8,16.5,37.7,85.8,61.53,37.7,85.8,0.0,0.0,3.0,2.928228186,1994-02-15,1994,INVIERNO
AL41,16/02/1994,187.2,7.9,11.9,10.09,7.9,11.9,66.3,95.3,83.86,66.3,95.3,0.0,0.0,0.0,2.928228186,1994-02-16,1994,INVIERNO
AL41,17/02/1994,227.16,5.2,15.5,11.05,5.2,15.5,46.9,93.5,67.47,46.9,93.5,0.0,0.0,2.0,2.928228186,1994-02-17,1994,INVIERNO
AL41,18/02/1994,106.92,4.6,20.0,11.85,4.6,20.0,32.1,97.0,67.75,32.1,97.0,0.0,0.0,9.0,2.928228186,1994-02-18,1994,INVIERNO
AL41,19/02/1994,,,,,,,,,,,,,,,,1994-02-19,1994,INVIERNO
AL41,20/02/1994,,,,,,,,,,,,,,,,1994-02-20,1994,INVIERNO
AL41,21/02/1994,104.04,7.6,20.4,15.26,7.6,20.4,38.0,93.7,60.01,38.0,93.7,0.0,0.0,0.0,2.928228186,1994-02-21,1994,INVIERNO
AL41,22/02/1994,82.8,4.5,22.0,11.9,4.5,22.0,36.2,94.3,70.82,36.2,94.3,0.0,0.0,9.0,2.928228186,1994-02-22,1994,INVIERNO
AL41,23/02/1994,207.72,3.0,24.2,14.37,3.0,24.2,29.4,98.5,55.9,29.4,98.5,0.0,0.0,8.0,2.928228186,1994-02-23,1994,INVIERNO
AL41,24/02/1994,90.0,5.9,22.0,13.23,5.9,22.0,35.5,93.2,64.38,35.5,93.2,0.0,0.0,2.0,2.928228186,1994-02-24,1994,INVIERNO
AL41,25/02/1994,83.16,2.2,22.6,11.56,2.2,22.6,33.3,94.7,67.05,33.3,94.7,0.0,0.0,9.0,2.928228186,1994-02-25,1994,INVIERNO
AL41,26/02/1994,145.08,5.8,20.6,11.94,5.8,20.6,36.6,98.2,75.44,36.6,98.2,0.0,0.0,3.0,2.928228186,1994-02-26,1994,INVIERNO
AL41,27/02/1994,128.52,8.8,19.9,13.58,8.8,19.9,35.2,92.8,65.65,35.2,92.8,0.4,0.0,0.0,2.928228186,1994-02-27,1994,INVIERNO
AL41,28/02/1994,137.52,4.3,16.3,10.67,4.3,16.3,57.0,94.0,75.87,57.0,94.0,1.5,0.0,2.0,2.928228186,1994-02-28,1994,INVIERNO
AL41,01/03/1994,235.8,8.7,15.5,12.25,8.7,15.5,51.5,91.0,65.08,51.5,91.0,0.0,0.0,0.0,2.928228186,1994-03-01,1994,INVIERNO
AL41,02/03/1994,170.28,6.0,20.2,12.6,6.0,20.2,39.2,92.8,67.88,39.2,92.8,0.0,0.0,0.0,2.928228186,1994-03-02,1994,INVIERNO
AL41,03/03/1994,93.24,2.2,23.5,11.32,2.2,23.5,28.8,97.4,68.38,28.8,97.4,0.0,0.0,9.0,2.928228186,1994-03-03,1994,INVIERNO
AL41,04/03/1994,103.32,3.9,22.5,12.41,3.9,22.5,33.9,87.9,62.4,33.9,87.9,0.0,0.0,8.0,2.928228186,1994-03-04,1994,INVIERNO
AL41,05/03/1994,96.84,2.4,20.7,11.73,2.4,20.7,39.1,90.4,68.03,39.1,90.4,2.4,0.0,9.0,2.928228186,1994-03-05,1994,INVIERNO
AL41,06/03/1994,199.44,8.3,16.9,12.79,8.3,16.9,52.1,94.7,76.27,52.1,94.7,0.8,0.0,0.0,2.928228186,1994-03-06,1994,INVIERNO
AL41,07/03/1994,157.68,4.1,20.1,12.33,4.1,20.1,43.7,94.9,68.68,43.7,94.9,0.0,0.0,3.0,2.928228186,1994-03-07,1994,INVIERNO
AL41,08/03/1994,113.76,3.0,21.0,11.99,3.0,21.0,34.9,97.1,66.73,34.9,97.1,0.0,0.0,6.0,2.928228186,1994-03-08,1994,INVIERNO
AL41,09/03/1994,83.52,1.0,22.0,11.53,1.0,22.0,31.0,91.2,59.23,31.0,91.2,0.0,0.0,9.0,2.928228186,1994-03-09,1994,INVIERNO
AL41,10/03/1994,101.4,0.7,20.7,10.95,0.7,20.7,35.5,89.7,67.35,35.5,89.7,0.0,0.0,9.0,2.928228186,1994-03-10,1994,INVIERNO
AL41,11/03/1994,115.56,10.3,17.6,13.03,10.3,17.6,51.8,90.7,74.6,51.8,90.7,0.0,0.0,0.0,2.928228186,1994-03-11,1994,INVIERNO
AL41,12/03/1994,83.16,4.1,20.4,11.77,4.1,20.4,43.6,98.9,77.82,43.6,98.9,0.0,0.0,5.0,2.928228186,1994-03-12,1994,INVIERNO
AL41,13/03/1994,80.28,6.8,19.0,12.48,6.8,19.0,47.7,95.0,75.32,47.7,95.0,0.0,0.0,1.0,2.928228186,1994-03-13,1994,INVIERNO
AL41,14/03/1994,85.68,7.7,20.5,13.3,7.7,20.5,41.5,92.7,68.96,41.5,92.7,0.0,0.0,0.0,2.928228186,1994-03-14,1994,INVIERNO
AL41,15/03/1994,75.96,2.8,23.0,12.06,2.8,23.0,31.3,96.0,67.06,31.3,96.0,0.0,0.0,9.0,2.928228186,1994-03-15,1994,INVIERNO
AL41,16/03/1994,147.6,3.7,23.2,13.29,3.7,23.2,31.9,92.5,66.22,31.9,92.5,0.0,0.0,5.0,2.928228186,1994-03-16,1994,INVIERNO
AL41,17/03/1994,92.52,4.0,20.8,11.92,4.0,20.8,43.2,99.1,78.59,43.2,99.1,0.1,0.0,7.0,2.928228186,1994-03-17,1994,INVIERNO
AL41,18/03/1994,91.8,3.9,21.4,11.46,3.9,21.4,40.1,97.1,79.78,40.1,97.1,0.0,0.0,7.0,2.928228186,1994-03-18,1994,INVIERNO
AL41,19/03/1994,102.24,4.8,24.8,13.81,4.8,24.8,36.7,96.3,65.24,36.7,96.3,0.0,0.0,7.0,2.928228186,1994-03-19,1994,INVIERNO
AL41,20/03/1994,129.96,6.7,27.0,15.29,6.7,27.0,26.5,88.8,61.96,26.5,88.8,0.0,0.0,3.0,2.928228186,1994-03-20,1994,INVIERNO
