CODEST,FECHA,VVMED,VVMAX,RVIENTO,DVMED,TMIN,TMAX,TMED,TMINABS,TMAXABS,HRMIN,HRMAX,HRMED,HRMINABS,HRMAXABS,RADMED,RADMAX,HSOL,PREC,HORAS0,HORAS7,DEWPT,DPV,ETO_PM_FAO,FECHA_2,AÑO,ESTACION
AL41,23/04/2010,1.51,8.23,130.06,145.15,9.74,21.44,16.07,9.25,22.37,53.26,95.6,80.23,45.31,95.7,185.77,1304.0,11.0,0.1,0.0,0.0,12.41,0.51,3.010548433,2010-04-23,2010,PRIMAVERA
AL41,24/04/2010,1.64,8.13,141.92,176.62,10.79,25.06,17.78,10.33,26.12,39.99,90.7,70.95,37.17,92.1,284.05,1229.0,12.0,0.0,0.0,0.0,11.81,0.74,4.496808253,2010-04-24,2010,PRIMAVERA
AL41,25/04/2010,1.54,8.43,132.96,94.79,11.79,24.97,17.31,11.33,26.01,47.81,93.4,73.84,41.66,93.9,237.67,992.0,10.0,0.0,0.0,0.0,12.08,0.64,3.886668604,2010-04-25,2010,PRIMAVERA
AL41,26/04/2010,1.75,9.11,151.19,130.98,8.98,25.68,17.27,8.42,26.01,31.02,92.8,62.91,28.37,93.5,325.04,982.0,12.0,0.0,0.0,0.0,8.83,0.96,5.082195797,2010-04-26,2010,PRIMAVERA
AL41,27/04/2010,1.92,10.19,165.98,174.0,8.59,28.48,18.05,7.913,28.76,28.73,90.7,59.11,26.41,92.0,320.28,1059.0,12.0,0.0,0.0,0.0,8.47,1.14,5.563509251,2010-04-27,2010,PRIMAVERA
AL41,28/04/2010,2.15,8.13,185.76,110.5,13.21,25.09,18.55,12.55,25.64,36.07,91.5,64.39,33.56,92.0,323.58,972.0,12.0,0.0,0.0,0.0,10.86,0.9,5.226897827,2010-04-28,2010,PRIMAVERA
AL41,29/04/2010,1.76,7.84,151.99,175.51,8.36,25.51,17.32,7.846,25.98,26.62,90.9,59.02,22.4,91.6,287.09,936.0,12.0,0.0,0.0,0.0,7.55,1.05,4.861233762,2010-04-29,2010,PRIMAVERA
AL41,30/04/2010,1.7,7.448,147.03,165.71,9.65,25.56,17.89,9.36,26.22,23.23,91.1,64.7,20.75,92.5,256.64,1069.0,11.0,0.0,0.0,0.0,9.64,0.93,4.660973744,2010-04-30,2010,PRIMAVERA
AL41,01/05/2010,1.84,8.13,159.3,145.62,13.49,24.96,18.82,13.19,25.54,48.36,92.1,75.52,42.13,93.0,266.35,1244.0,12.0,2.5,0.0,0.0,14.0,0.62,4.362789247,2010-05-01,2010,PRIMAVERA
AL41,02/05/2010,2.11,9.7,182.71,156.45,12.23,23.56,17.71,11.54,24.29,54.98,94.4,80.07,50.9,94.5,268.33,1167.0,11.0,0.0,0.0,0.0,13.94,0.48,4.136622245,2010-05-02,2010,PRIMAVERA
AL41,03/05/2010,2.74,15.48,236.42,13.0,14.14,21.87,17.36,13.49,22.74,24.78,93.3,61.29,22.91,93.6,246.5,1260.0,11.0,0.0,0.0,0.0,9.63,0.81,4.723147643,2010-05-03,2010,PRIMAVERA
AL41,04/05/2010,3.43,14.5,296.47,343.73,11.26,17.26,14.12,10.77,17.95,25.27,47.26,33.44,23.62,48.74,263.12,1353.0,12.0,0.0,0.0,0.0,0.77,1.09,5.173345302,2010-05-04,2010,PRIMAVERA
AL41,05/05/2010,2.82,12.05,243.6,345.12,7.133,19.49,14.28,6.021,20.33,26.2,78.51,39.84,24.4,82.4,284.14,1466.0,12.0,0.0,0.0,0.0,4.0,1.04,4.736779397,2010-05-05,2010,PRIMAVERA
AL41,06/05/2010,2.51,9.21,216.51,162.44,4.02,21.14,13.6,2.833,21.87,24.53,89.7,57.66,22.3,91.2,286.12,1095.0,12.0,0.0,0.0,5.0,4.53,0.82,4.728868628,2010-05-06,2010,PRIMAVERA
AL41,07/05/2010,2.64,10.58,228.02,139.93,11.16,21.04,16.38,10.6,21.68,44.78,82.2,63.55,39.21,86.4,305.18,1183.0,12.0,0.0,0.0,0.0,9.14,0.74,4.677075681,2010-05-07,2010,PRIMAVERA
AL41,08/05/2010,2.48,10.39,213.99,160.4,7.543,23.09,15.91,6.967,23.72,30.89,92.3,66.24,27.36,92.9,323.49,1208.0,12.0,0.0,0.0,0.0,8.49,0.79,5.152623389,2010-05-08,2010,PRIMAVERA
